id,talk_time,talk_charge,sms,sms_charge,total_charge,plan
185,16,802,713,142.6,991.6,PlanA
186,61,3054,109,21.8,3091.8,PlanA
187,41,2051,623,124.6,2181.6,PlanA
188,84,4203,150,30,4274,PlanA
189,55,2752,852,170.4,2952.4,PlanA
190,26,1305,113,22.6,1338.6,PlanA
191,17,854,116,23.2,886.2,PlanA
192,86,4304,683,136.6,4467.6,PlanA
193,65,3254,878,175.6,3438.6,PlanA
194,89,4454,779,155.8,4659.8,PlanA
195,54,2702,168,33.6,2757.6,PlanA
196,3,151,525,105,258,PlanA
197,8,401,461,92.2,508.2,PlanA
198,72,3604,775,155,3806,PlanA
199,81,4053,833,166.6,4227.6,PlanA
200,57,2853,395,79,2947,PlanA
201,63,3151,394,78.8,3270.8,PlanA
202,98,4902,467,93.4,5040.4,PlanA
203,63,3153,240,48,3219,PlanA
204,50,2505,821,164.2,2691.2,PlanA
205,4,205,845,169,413,PlanA
206,66,3301,636,127.2,3442.2,PlanA
207,54,2705,269,53.8,2764.8,PlanA
208,51,2551,149,29.8,2612.8,PlanA
209,57,2851,671,134.2,3009.2,PlanA
210,75,3752,830,166,3963,PlanA
211,18,905,131,26.2,958.2,PlanA
212,78,3902,370,74,3991,PlanA
213,71,3551,375,75,3663,PlanA
214,4,205,510,102,342,PlanA
215,71,3552,2,0.4,3590.4,PlanA
216,2,104,89,17.8,135.8,PlanA
217,99,4955,419,83.8,5086.8,PlanA
218,87,4351,669,133.8,4525.8,PlanA
219,30,1502,339,67.8,1591.8,PlanA
220,53,2654,183,36.6,2725.6,PlanA
221,9,454,300,60,525,PlanA
222,24,1205,386,77.2,1323.2,PlanA
223,48,2401,678,135.6,2578.6,PlanA
224,64,3201,481,96.2,3327.2,PlanA
225,23,1153,903,180.6,1358.6,PlanA
226,59,2955,604,120.8,3104.8,PlanA
227,75,3755,872,174.4,3967.4,PlanA
228,91,4555,198,39.6,4633.6,PlanA
229,44,2204,702,140.4,2372.4,PlanA
230,5,253,69,13.8,303.8,PlanA
231,47,2355,556,111.2,2487.2,PlanA
232,95,4751,580,116,4909,PlanA
233,56,2803,264,52.8,2891.8,PlanA
234,94,4701,330,66,4783,PlanA
235,23,1152,993,198.6,1364.6,PlanA
236,69,3454,349,69.8,3537.8,PlanA
237,91,4554,643,128.6,4722.6,PlanA
238,34,1705,29,5.8,1759.8,PlanA
239,66,3302,209,41.8,3360.8,PlanA
240,99,4953,912,182.4,5146.4,PlanA
241,98,4902,89,17.8,4968.8,PlanA
242,63,3155,877,175.4,3336.4,PlanA
243,57,2855,400,80,2946,PlanA
244,89,4454,813,162.6,4665.6,PlanA
245,41,2055,78,15.6,2079.6,PlanA
246,65,3255,906,181.2,3484.2,PlanA
247,17,853,512,102.4,998.4,PlanA
248,49,2453,876,175.2,2664.2,PlanA
249,8,402,875,175,607,PlanA
250,12,603,296,59.2,700.2,PlanA
251,55,2754,378,75.6,2874.6,PlanA
252,67,3354,150,30,3425,PlanA
253,63,3153,434,86.8,3247.8,PlanA
254,15,753,443,88.6,872.6,PlanA
255,24,1205,283,56.6,1300.6,PlanA
256,65,3254,737,147.4,3446.4,PlanA
257,25,1252,49,9.8,1310.8,PlanA
258,19,953,664,132.8,1119.8,PlanA
259,84,4204,482,96.4,4311.4,PlanA
260,58,2901,882,176.4,3123.4,PlanA
261,92,4604,745,149,4786,PlanA
262,17,853,179,35.8,934.8,PlanA
263,20,1002,763,152.6,1168.6,PlanA
264,73,3654,347,69.4,3755.4,PlanA
265,85,4253,126,25.2,4319.2,PlanA
266,19,952,137,27.4,1017.4,PlanA
267,27,1355,308,61.6,1417.6,PlanA
268,85,4251,65,13,4296,PlanA
269,64,3203,439,87.8,3330.8,PlanA
270,39,1954,348,69.6,2061.6,PlanA
271,84,4203,948,189.6,4422.6,PlanA
272,56,2802,481,96.2,2907.2,PlanA
273,20,1002,101,20.2,1060.2,PlanA
274,91,4555,17,3.4,4586.4,PlanA
275,47,2353,823,164.6,2535.6,PlanA
276,41,2054,815,163,2246,PlanA
277,62,3104,849,169.8,3308.8,PlanA
278,6,301,42,8.4,354.4,PlanA
279,18,902,940,188,1094,PlanA
280,83,4154,26,5.2,4189.2,PlanA
281,66,3304,308,61.6,3376.6,PlanA
282,18,904,784,156.8,1104.8,PlanA
283,39,1953,494,98.8,2093.8,PlanA
284,92,4603,196,39.2,4692.2,PlanA
285,29,1455,73,14.6,1510.6,PlanA
286,6,304,153,30.6,362.6,PlanA
287,32,1601,296,59.2,1689.2,PlanA
288,6,303,735,147,483,PlanA
289,100,5002,102,20.4,5036.4,PlanA
290,15,754,585,117,898,PlanA
291,23,1154,877,175.4,1352.4,PlanA
292,77,3851,625,125,4018,PlanA
293,87,4353,754,150.8,4551.8,PlanA
294,2,103,554,110.8,231.8,PlanA
295,28,1404,229,45.8,1495.8,PlanA
296,43,2151,794,158.8,2351.8,PlanA
297,60,3005,909,181.8,3198.8,PlanA
298,94,4704,1,0.2,4740.2,PlanA
299,59,2955,801,160.2,3153.2,PlanA
300,65,3253,454,90.8,3361.8,PlanA
301,39,1955,692,138.4,2111.4,PlanA
302,17,853,818,163.6,1025.6,PlanA
303,48,2403,118,23.6,2464.6,PlanA
304,36,1802,967,193.4,2001.4,PlanA
305,49,2454,396,79.2,2549.2,PlanA
306,35,1754,723,144.6,1941.6,PlanA
307,78,3904,961,192.2,4136.2,PlanA
308,65,3251,841,168.2,3451.2,PlanA
309,51,2551,505,101,2691,PlanA
310,7,353,136,27.2,381.2,PlanA
311,96,4804,855,171,4977,PlanA
312,56,2803,732,146.4,2978.4,PlanA
313,19,953,334,66.8,1042.8,PlanA
314,95,4752,132,26.4,4801.4,PlanA
315,17,852,460,92,977,PlanA
316,13,654,185,37,733,PlanA
317,8,401,572,114.4,526.4,PlanA
318,44,2204,416,83.2,2307.2,PlanA
319,18,903,312,62.4,1002.4,PlanA
320,79,3951,970,194,4158,PlanA
321,6,301,230,46,373,PlanA
322,100,5005,779,155.8,5165.8,PlanA
323,52,2602,984,196.8,2830.8,PlanA
324,99,4955,844,168.8,5169.8,PlanA
325,66,3305,279,55.8,3391.8,PlanA
326,12,601,774,154.8,804.8,PlanA
327,35,1752,291,58.2,1845.2,PlanA
328,24,1201,365,73,1324,PlanA
329,25,1254,124,24.8,1287.8,PlanA
330,22,1102,196,39.2,1158.2,PlanA
331,68,3404,308,61.6,3484.6,PlanA
332,44,2204,932,186.4,2423.4,PlanA
333,9,451,273,54.6,515.6,PlanA
334,65,3254,115,23,3278,PlanA
335,45,2254,359,71.8,2326.8,PlanA
336,62,3103,427,85.4,3189.4,PlanA
337,8,401,254,50.8,455.8,PlanA
338,73,3652,185,37,3727,PlanA
339,91,4555,565,113,4669,PlanA
340,45,2255,259,51.8,2328.8,PlanA
341,69,3453,303,60.6,3563.6,PlanA
342,93,4655,71,14.2,4694.2,PlanA
343,29,1455,173,34.6,1495.6,PlanA
344,39,1951,663,132.6,2104.6,PlanA
345,97,4853,674,134.8,5030.8,PlanA
346,8,403,308,61.6,481.6,PlanA
347,71,3554,381,76.2,3674.2,PlanA
348,24,1205,543,108.6,1325.6,PlanA
349,43,2152,496,99.2,2284.2,PlanA
350,80,4002,81,16.2,4065.2,PlanA
351,89,4452,935,187,4680,PlanA
352,82,4102,866,173.2,4319.2,PlanA
353,91,4552,368,73.6,4658.6,PlanA
354,15,755,901,180.2,937.2,PlanA
355,65,3252,846,169.2,3453.2,PlanA
356,19,951,227,45.4,1003.4,PlanA
357,17,853,405,81,945,PlanA
358,36,1801,174,34.8,1871.8,PlanA
359,79,3953,129,25.8,3981.8,PlanA
360,92,4602,31,6.2,4655.2,PlanA
361,15,753,694,138.8,897.8,PlanA
362,48,2402,552,110.4,2513.4,PlanA
363,4,203,69,13.8,222.8,PlanA
364,9,455,77,15.4,481.4,PlanA
365,19,951,433,86.6,1048.6,PlanA
366,60,3003,291,58.2,3065.2,PlanA
367,16,803,806,161.2,1004.2,PlanA
368,70,3503,779,155.8,3669.8,PlanA
369,67,3354,686,137.2,3498.2,PlanA
370,86,4303,717,143.4,4452.4,PlanA
371,95,4755,746,149.2,4953.2,PlanA
372,22,1102,179,35.8,1142.8,PlanA
373,80,4001,219,43.8,4086.8,PlanA
374,37,1852,116,23.2,1911.2,PlanA
375,83,4154,330,66,4254,PlanA
376,26,1304,338,67.6,1397.6,PlanA
377,91,4555,943,188.6,4748.6,PlanA
378,82,4101,783,156.6,4278.6,PlanA
379,1,53,489,97.8,151.8,PlanA
380,48,2401,341,68.2,2511.2,PlanA
381,50,2504,324,64.8,2617.8,PlanA
382,86,4302,345,69,4401,PlanA
383,20,1001,434,86.8,1113.8,PlanA
384,46,2305,741,148.2,2503.2,PlanA
385,28,1401,152,30.4,1442.4,PlanA
386,70,3505,830,166,3676,PlanA
387,18,902,646,129.2,1074.2,PlanA
388,76,3802,899,179.8,4014.8,PlanA
389,64,3204,111,22.2,3228.2,PlanA
390,49,2453,523,104.6,2599.6,PlanA
391,5,251,740,148,447,PlanA
392,68,3404,323,64.6,3486.6,PlanA
393,33,1653,608,121.6,1788.6,PlanA
394,75,3755,917,183.4,3963.4,PlanA
395,59,2951,352,70.4,3036.4,PlanA
396,70,3505,449,89.8,3634.8,PlanA
397,60,3002,744,148.8,3151.8,PlanA
398,56,2803,152,30.4,2882.4,PlanA
399,9,451,984,196.8,679.8,PlanA
400,31,1553,377,75.4,1670.4,PlanA
401,91,4551,59,11.8,4565.8,PlanA
402,95,4754,898,179.6,4952.6,PlanA
403,97,4854,539,107.8,4990.8,PlanA
404,34,1703,308,61.6,1771.6,PlanA
405,6,301,853,170.6,489.6,PlanA
406,73,3654,386,77.2,3759.2,PlanA
407,99,4954,705,141,5101,PlanA
408,20,1002,679,135.8,1138.8,PlanA
409,74,3701,303,60.6,3807.6,PlanA
410,75,3751,829,165.8,3921.8,PlanA
411,5,254,613,122.6,390.6,PlanA
412,26,1302,239,47.8,1384.8,PlanA
413,13,654,391,78.2,782.2,PlanA
414,91,4552,820,164,4759,PlanA
415,32,1601,833,166.6,1806.6,PlanA
416,38,1905,17,3.4,1924.4,PlanA
417,97,4853,683,136.6,5024.6,PlanA
418,69,3452,548,109.6,3565.6,PlanA
419,30,1502,785,157,1662,PlanA
420,37,1852,532,106.4,1966.4,PlanA
421,57,2853,996,199.2,3054.2,PlanA
422,69,3451,443,88.6,3575.6,PlanA
423,75,3754,295,59,3817,PlanA
424,89,4454,377,75.4,4536.4,PlanA
425,29,1454,589,117.8,1593.8,PlanA
426,90,4504,131,26.2,4535.2,PlanA
427,30,1505,892,178.4,1715.4,PlanA
428,18,902,927,185.4,1127.4,PlanA
429,35,1753,614,122.8,1913.8,PlanA
430,19,954,817,163.4,1144.4,PlanA
431,96,4801,250,50,4858,PlanA
432,95,4755,811,162.2,4960.2,PlanA
433,48,2405,319,63.8,2502.8,PlanA
434,49,2452,122,24.4,2502.4,PlanA
435,18,904,840,168,1099,PlanA
436,62,3102,507,101.4,3224.4,PlanA
437,55,2755,477,95.4,2867.4,PlanA
438,89,4454,699,139.8,4631.8,PlanA
439,12,604,972,194.4,848.4,PlanA
440,26,1301,364,72.8,1391.8,PlanA
441,48,2402,686,137.2,2584.2,PlanA
442,90,4502,210,42,4561,PlanA
443,49,2453,697,139.4,2603.4,PlanA
444,22,1105,162,32.4,1143.4,PlanA
445,27,1355,824,164.8,1568.8,PlanA
446,38,1901,482,96.4,2003.4,PlanA
447,27,1351,362,72.4,1425.4,PlanA
448,81,4051,659,131.8,4219.8,PlanA
449,86,4304,492,98.4,4431.4,PlanA
450,57,2853,994,198.8,3091.8,PlanA
451,79,3952,658,131.6,4096.6,PlanA
452,31,1555,33,6.6,1576.6,PlanA
453,78,3904,939,187.8,4119.8,PlanA
454,93,4654,441,88.2,4755.2,PlanA
455,26,1301,372,74.4,1383.4,PlanA
456,80,4003,199,39.8,4069.8,PlanA
457,45,2253,914,182.8,2479.8,PlanA
458,49,2451,430,86,2553,PlanA
459,18,901,1000,200,1133,PlanA
460,30,1503,643,128.6,1662.6,PlanA
461,2,102,287,57.4,165.4,PlanA
462,88,4401,883,176.6,4586.6,PlanA
463,53,2652,108,21.6,2693.6,PlanA
464,87,4354,433,86.6,4455.6,PlanA
465,22,1103,552,110.4,1215.4,PlanA
466,33,1655,582,116.4,1780.4,PlanA
467,54,2705,272,54.4,2788.4,PlanA
468,6,305,892,178.4,493.4,PlanA
469,9,451,763,152.6,606.6,PlanA
470,29,1455,886,177.2,1649.2,PlanA
471,62,3104,495,99,3223,PlanA
472,55,2752,520,104,2867,PlanA
473,77,3851,458,91.6,3963.6,PlanA
474,22,1104,970,194,1318,PlanA
475,38,1904,560,112,2025,PlanA
476,88,4401,887,177.4,4586.4,PlanA
477,93,4653,730,146,4824,PlanA
478,82,4104,462,92.4,4221.4,PlanA
479,41,2053,955,191,2275,PlanA
480,77,3855,858,171.6,4028.6,PlanA
481,5,254,340,68,346,PlanA
482,56,2804,272,54.4,2903.4,PlanA
483,6,304,577,115.4,445.4,PlanA
484,97,4852,602,120.4,4980.4,PlanA
485,37,1852,245,49,1949,PlanA
486,12,604,690,138,777,PlanA
487,98,4901,474,94.8,5014.8,PlanA
488,57,2855,801,160.2,3026.2,PlanA
489,5,253,638,127.6,391.6,PlanA
490,8,405,163,32.6,448.6,PlanA
491,33,1655,350,70,1735,PlanA
492,45,2251,478,95.6,2356.6,PlanA
493,76,3802,413,82.6,3909.6,PlanA
494,23,1155,314,62.8,1243.8,PlanA
495,44,2203,582,116.4,2347.4,PlanA
496,15,755,957,191.4,981.4,PlanA
497,33,1655,583,116.6,1788.6,PlanA
498,35,1753,886,177.2,1970.2,PlanA
499,4,202,631,126.2,345.2,PlanA
500,97,4855,699,139.8,5012.8,PlanA
501,78,3905,155,31,3986,PlanA
502,73,3654,207,41.4,3704.4,PlanA
503,19,955,88,17.6,1003.6,PlanA
504,51,2555,479,95.8,2679.8,PlanA
505,32,1605,892,178.4,1814.4,PlanA
506,17,852,818,163.6,1056.6,PlanA
507,15,751,346,69.2,864.2,PlanA
508,4,205,677,135.4,347.4,PlanA
509,74,3705,50,10,3759,PlanA
510,67,3353,963,192.6,3546.6,PlanA
511,14,702,19,3.8,744.8,PlanA
512,69,3452,163,32.6,3526.6,PlanA
513,65,3252,534,106.8,3378.8,PlanA
514,32,1602,336,67.2,1714.2,PlanA
515,58,2901,669,133.8,3040.8,PlanA
516,70,3504,564,112.8,3628.8,PlanA
517,90,4501,491,98.2,4617.2,PlanA
518,50,2502,628,125.6,2650.6,PlanA
519,1,51,705,141,241,PlanA
520,54,2704,145,29,2749,PlanA
521,3,152,418,83.6,258.6,PlanA
522,60,3005,789,157.8,3205.8,PlanA
523,87,4353,421,84.2,4466.2,PlanA
524,53,2651,311,62.2,2747.2,PlanA
525,21,1053,173,34.6,1097.6,PlanA
526,7,352,655,131,532,PlanA
527,99,4955,420,84,5047,PlanA
528,86,4304,512,102.4,4428.4,PlanA
529,83,4152,61,12.2,4183.2,PlanA
530,34,1704,247,49.4,1756.4,PlanA
531,78,3905,637,127.4,4061.4,PlanA
532,1,53,573,114.6,217.6,PlanA
533,86,4302,215,43,4355,PlanA
534,78,3901,745,149,4095,PlanA
535,6,305,465,93,421,PlanA
536,65,3251,681,136.2,3401.2,PlanA
537,30,1505,56,11.2,1534.2,PlanA
538,50,2503,914,182.8,2698.8,PlanA
539,26,1302,759,151.8,1490.8,PlanA
540,85,4253,541,108.2,4392.2,PlanA
541,26,1301,747,149.4,1491.4,PlanA
542,72,3602,633,126.6,3758.6,PlanA
543,91,4554,992,198.4,4773.4,PlanA
544,31,1555,180,36,1600,PlanA
545,10,505,757,151.4,661.4,PlanA
546,83,4153,558,111.6,4287.6,PlanA
547,23,1154,753,150.6,1345.6,PlanA
548,67,3354,183,36.6,3398.6,PlanA
549,93,4653,13,2.6,4685.6,PlanA
550,40,2001,323,64.6,2098.6,PlanA
551,97,4853,731,146.2,5037.2,PlanA
552,97,4852,941,188.2,5045.2,PlanA
553,66,3304,64,12.8,3324.8,PlanA
554,18,904,654,130.8,1080.8,PlanA
555,82,4101,823,164.6,4309.6,PlanA
556,85,4251,97,19.4,4272.4,PlanA
557,88,4405,311,62.2,4514.2,PlanA
558,64,3204,534,106.8,3324.8,PlanA
559,91,4555,571,114.2,4695.2,PlanA
560,27,1354,671,134.2,1492.2,PlanA
561,56,2805,82,16.4,2841.4,PlanA
562,3,154,645,129,311,PlanA
563,89,4452,78,15.6,4479.6,PlanA
564,76,3804,431,86.2,3935.2,PlanA
565,98,4902,282,56.4,4964.4,PlanA
566,46,2305,696,139.2,2473.2,PlanA
567,69,3454,997,199.4,3673.4,PlanA
568,94,4702,296,59.2,4811.2,PlanA
569,40,2004,872,174.4,2184.4,PlanA
570,73,3654,232,46.4,3718.4,PlanA
571,85,4255,419,83.8,4356.8,PlanA
572,2,105,684,136.8,260.8,PlanA
573,77,3853,150,30,3903,PlanA
574,35,1755,892,178.4,1959.4,PlanA
575,28,1405,466,93.2,1536.2,PlanA
576,61,3053,268,53.6,3152.6,PlanA
577,49,2452,463,92.6,2577.6,PlanA
578,53,2655,235,47,2727,PlanA
579,53,2654,464,92.8,2789.8,PlanA
580,95,4754,517,103.4,4892.4,PlanA
581,22,1104,451,90.2,1216.2,PlanA
582,29,1453,367,73.4,1570.4,PlanA
583,72,3604,85,17,3642,PlanA
584,40,2005,719,143.8,2174.8,PlanA
585,91,4552,45,9,4581,PlanA
586,3,153,431,86.2,244.2,PlanA
587,52,2605,260,52,2673,PlanA
588,16,803,42,8.4,843.4,PlanA
589,29,1454,59,11.8,1489.8,PlanA
590,7,353,217,43.4,418.4,PlanA
591,37,1851,851,170.2,2068.2,PlanA
592,44,2203,754,150.8,2359.8,PlanA
593,64,3203,311,62.2,3284.2,PlanA
594,56,2803,338,67.6,2911.6,PlanA
595,89,4453,672,134.4,4616.4,PlanA
596,65,3251,19,3.8,3296.8,PlanA
597,40,2005,137,27.4,2039.4,PlanA
598,59,2954,433,86.6,3056.6,PlanA
599,90,4505,988,197.6,4730.6,PlanA
600,5,255,487,97.4,360.4,PlanA
601,53,2652,666,133.2,2818.2,PlanA
602,14,703,440,88,797,PlanA
603,28,1404,465,93,1507,PlanA
604,35,1752,931,186.2,1975.2,PlanA
605,66,3301,621,124.2,3426.2,PlanA
606,81,4053,348,69.6,4164.6,PlanA
607,41,2055,63,12.6,2104.6,PlanA
608,6,304,920,184,515,PlanA
609,64,3204,199,39.8,3250.8,PlanA
610,27,1351,510,102,1488,PlanA
611,78,3903,466,93.2,4035.2,PlanA
612,74,3705,944,188.8,3914.8,PlanA
613,30,1505,484,96.8,1637.8,PlanA
614,56,2801,815,163,2997,PlanA
615,1,55,216,43.2,120.2,PlanA
616,89,4454,378,75.6,4549.6,PlanA
617,32,1603,649,129.8,1749.8,PlanA
618,33,1655,172,34.4,1703.4,PlanA
619,93,4654,447,89.4,4765.4,PlanA
620,40,2005,482,96.4,2130.4,PlanA
621,24,1204,603,120.6,1346.6,PlanA
622,56,2801,648,129.6,2968.6,PlanA
623,83,4151,401,80.2,4251.2,PlanA
624,59,2954,970,194,3158,PlanA
625,80,4003,152,30.4,4076.4,PlanA
626,69,3455,197,39.4,3503.4,PlanA
627,97,4852,433,86.6,4970.6,PlanA
628,4,204,606,121.2,351.2,PlanA
629,32,1604,605,121,1740,PlanA
630,64,3203,345,69,3313,PlanA
631,93,4654,702,140.4,4828.4,PlanA
632,50,2503,734,146.8,2655.8,PlanA
633,100,5005,473,94.6,5130.6,PlanA
634,24,1205,323,64.6,1284.6,PlanA
635,55,2754,276,55.2,2846.2,PlanA
636,93,4653,561,112.2,4802.2,PlanA
637,19,954,202,40.4,1021.4,PlanA
638,71,3553,206,41.2,3623.2,PlanA
639,77,3853,595,119,3982,PlanA
640,78,3904,595,119,4034,PlanA
